AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2022;CIÊNCIAS DA SAÚDE;NUTRIÇÃO;NUTRIÇÃO;NÃO SE APLICA;NÃO SE APLICA;50;NUTRIÇÃO;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;VITÓRIA DE SANTO ANTÃO;ACADÊMICO;25001019093P9;NUTRIÇÃO, ATIVIDADE FÍSICA E PLASTICIDADE FENOTÍPICA;NUTRITION, PHYSICAL ACTIVITY AND PHENOTYPIC PLASTICITY;MESTRADO;4;2014;2014;EM FUNCIONAMENTO;13MAR2014:00:00:00;248637;186690
2022;LINGÜÍSTICA, LETRAS E ARTES;LINGÜÍSTICA;PSICOLINGUÍSTICA;PSICOLINGUÍSTICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015003P6;CIÊNCIAS DA LINGUAGEM;SCIENCE OF LANGUAGE;MESTRADO/DOUTORADO;5;2003;2003/2015;EM FUNCIONAMENTO;07AUG2010:00:00:00;251969;189686
2022;CIÊNCIAS HUMANAS;HISTÓRIA;HISTÓRIA;NÃO SE APLICA;NÃO SE APLICA;40;HISTÓRIA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;PROFISSIONAL;25002015009P4;HISTÓRIA;MASTERING IN HISTORY;MESTRADO PROFISSIONAL;3;2017;2017;EM FUNCIONAMENTO;12DEC2017:00:00:00;253748;190863
2022;ENGENHARIAS;ENGENHARIA QUÍMICA;OPERAÇÕES CARACTERÍSTICAS DE PROCESSOS BIOQUÍMICOS;OPERAÇÕES INDUSTRIAIS E EQUIPAMENTOS PARA ENG. QUÍMICA;OPERAÇÕES CARACTERÍSTICAS DE PROCESSOS BIOQUÍMICOS;12;ENGENHARIAS II;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015005P9;DESENVOLVIMENTO DE PROCESSOS AMBIENTAIS;ENVIRONMENTAL PROCESSES DEVELOPMENT;MESTRADO;4;2005;2005;EM FUNCIONAMENTO;13JAN2014:00:00:00;251103;188831
2022;CIÊNCIAS HUMANAS;PSICOLOGIA;TRATAMENTO E PREVENÇÃO PSICOLÓGICA;TRATAMENTO E PREVENÇÃO PSICOLÓGICA;NÃO SE APLICA;37;PSICOLOGIA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015001P3;PSICOLOGIA CLÍNICA;CLINICAL PSYCHOLOGY;MESTRADO/DOUTORADO;4;1999;1999/2009;EM FUNCIONAMENTO;07AUG2010:00:00:00;253125;190548
2022;CIÊNCIAS HUMANAS;TEOLOGIA;TEOLOGIA;NÃO SE APLICA;NÃO SE APLICA;44;CIÊNCIAS DA RELIGIÃO E TEOLOGIA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015007P1;TEOLOGIA;THEOLOGY;MESTRADO;3;2015;2015;EM FUNCIONAMENTO;14APR2015:00:00:00;251611;189333
2022;CIÊNCIAS SOCIAIS APLICADAS;DIREITO;DIREITO;NÃO SE APLICA;NÃO SE APLICA;26;DIREITO;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015006P5;DIREITO;POSTGRADUATE PROGRAM IN LAW OF CATÓLICA UNIVERSITY OF PERNAMBUCO;MESTRADO/DOUTORADO;5;2005;2005/2016;EM FUNCIONAMENTO;13JAN2014:00:00:00;235251;165066
2022;CIÊNCIAS SOCIAIS APLICADAS;COMUNICAÇÃO;COMUNICAÇÃO;NÃO SE APLICA;NÃO SE APLICA;31;COMUNICAÇÃO E INFORMAÇÃO;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;PROFISSIONAL;25002015008P8;INDÚSTRIAS CRIATIVAS;MASTER IN CREATIVE INDUSTRIES;MESTRADO PROFISSIONAL;4;2017;2017;EM FUNCIONAMENTO;05FEB2018:00:00:00;250912;188668
2022;CIÊNCIAS HUMANAS;TEOLOGIA;TEOLOGIA;NÃO SE APLICA;NÃO SE APLICA;44;CIÊNCIAS DA RELIGIÃO E TEOLOGIA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015004P2;CIÊNCIAS DA RELIGIÃO;RELIGION SCIENCES;MESTRADO/DOUTORADO;4;2005;2005/2015;EM FUNCIONAMENTO;19JUN2012:00:00:00;251607;189329
2022;ENGENHARIAS;ENGENHARIA CIVIL;ENGENHARIA CIVIL;NÃO SE APLICA;NÃO SE APLICA;10;ENGENHARIAS I;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015002P0;ENGENHARIA CIVIL;GRADUATE PROGRAM IN CIVIL ENGINEERING;MESTRADO;2;2003;2003;EM FUNCIONAMENTO;13JAN2014:00:00:00;236296;165999
2022;CIÊNCIAS HUMANAS;FILOSOFIA;FILOSOFIA;NÃO SE APLICA;NÃO SE APLICA;33;FILOSOFIA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015010P2;FILOSOFIA;MASTER OF PHILOSOPY;MESTRADO;3;2020;2020;EM FUNCIONAMENTO;01AUG2020:00:00:00;250775;188527
